team,n_runs,private_rate,mean_share,consensus_coverage,avg_concepts,priv_vs_median
T614,1,0.1084093414440643,0.32814833689055345,0.6400563440891647,117.6218487394958,1.9541233007500312
T578,1,0.1047307724841574,0.28007890486255793,0.8349700735648918,204.1764705882353,1.8878155709712383
T066,1,0.09412795114823723,0.2935882987550805,0.7373614792997367,161.9327731092437,1.6966953229352182
T086,7,0.09047458916356912,0.27844881983093883,0.7937359168315519,195.1080432172869,1.630841959330036
T649,1,0.08894025939618333,0.25809864648712955,0.7831095494995406,231.87394957983193,1.6031850294977488
T907,3,0.0865967599106324,0.43634393656271564,0.1782453970693211,21.818220311380365,1.560942480202551
T175,3,0.07845659144086913,0.34432023040060405,0.7336634602270059,131.80672268907563,1.4142125705203439
T341,2,0.06687552468035587,0.2968070441989966,0.8561208058585914,203.26470588235293,1.2054590433537076
T507,1,0.06599589774890682,0.322023061878676,0.8074752082693938,161.7563025210084,1.189603403426232
T569,7,0.06388773779313005,0.3108955644377706,0.7693088915051581,178.60744297719089,1.1516029466720772
T448,6,0.062192953794845136,0.2947616487312279,0.8048355883640553,186.20028011204482,1.1210537628409436
T182,1,0.060622386749109296,0.3897225265443442,0.4713351379906614,71.82352941176471,1.0927436410508755
T820,1,0.05547722674534133,0.320415280148087,0.8592854255212075,177.54621848739495,1.0
T300,5,0.0537196999118425,0.2834564396144873,0.8281353102477392,212.6218487394958,0.9683198505655942
T047,10,0.049746364912425484,0.3177973739252303,0.6272679140834982,134.0799529981484,0.8966988407834015
T149,2,0.042194251450625914,0.3427117601815175,0.7719885685673583,152.07983193277312,0.7605688662901513
T712,2,0.03977648132951983,0.4421190564548284,0.5352122381058095,68.84453781512605,0.7169875580137942
T656,2,0.03695912691003296,0.500102901214246,0.34963940203783894,36.970588235294116,0.6662035771846974
T736,5,0.03623039198833582,0.2784625238841734,0.8115311497335627,226.16302521008404,0.6530678282576237
T445,2,0.03186786106276386,0.4159393754200126,0.6981740637160555,97.46638655462185,0.5744314006366577
T267,2,0.0315854631669616,0.33957409633097724,0.8077303181623733,165.5840336134454,0.5693410615485384
T706,2,0.030451629730835175,0.36637636737173174,0.797705564538693,137.40677966101694,0.5489032440395434
T410,3,0.02972615286117527,0.33940205224620296,0.8151614192830651,163.99159663865547,0.5358262228504691
T768,9,0.013458387834524839,0.4213582545023283,0.601543362808568,80.82539682539682,0.24259301742502837
T949,4,0.003693011957706192,0.4256781075452762,0.6343177021173402,86.6344537815126,0.06656807079882217
